FMT,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
GPS, 33498140, 0, 3, 221181199, 2252, 18, 0.64, 52.5259584, 13.3143369, 63.75, 0.02202272, 272.6026, 0.089, 0, 1
GPS, 33698171, 0, 3, 221181399, 2252, 18, 0.64, 52.5259584, 13.3143369, 63.73, 0.008485282, 225, -0.103, 0, 1
GPS, 33898170, 0, 3, 221181599, 2252, 18, 0.64, 52.5259584, 13.3143369, 63.75, 0.03244996, 56.30993, -0.05, 0, 1
GPS, 34098278, 0, 3, 221181799, 2252, 18, 0.64, 52.5259583, 13.3143369, 63.73, 0.0210238, 92.7263, -0.09900001, 0, 1
GPS, 34298258, 0, 3, 221181999, 2252, 18, 0.64, 52.5259583, 13.314337, 63.75, 0.01476482, 28.30076, 0.01, 0, 1
GPS, 34518209, 0, 3, 221182199, 2252, 18, 0.64, 52.5259582, 13.314337, 63.74, 0.03820995, 186.009, -0.043, 0, 1
GPS, 34698143, 0, 3, 221182399, 2252, 18, 0.64, 52.5259581, 13.314337, 63.74, 0.04031129, 66.61478, -0.09900001, 0, 1
GPS, 34898145, 0, 3, 221182599, 2252, 18, 0.64, 52.525958, 13.314337, 63.74, 0.01702939, 176.6335, 0, 0, 1
GPS, 35098123, 0, 3, 221182799, 2252, 18, 0.64, 52.5259579, 13.3143371, 63.74, 0.03716181, 66.19405, -0.033, 0, 1
GPS, 35298160, 0, 3, 221182999, 2252, 18, 0.64, 52.5259578, 13.3143372, 63.72, 0.02420744, 38.29016, -0.044, 0, 1
GPS, 35498161, 0, 3, 221183199, 2252, 18, 0.64, 52.5259577, 13.3143372, 63.72, 0.01118034, 169.6951, -0.115, 0, 1
GPS, 35698213, 0, 3, 221183399, 2252, 18, 0.64, 52.5259577, 13.3143372, 63.72, 0.02220361, 125.8376, -0.013, 0, 1
GPS, 35898257, 0, 3, 221183599, 2252, 18, 0.64, 52.5259576, 13.3143373, 63.71, 0.03423449, 186.7098, 0.032, 0, 1
GPS, 36098167, 0, 3, 221183799, 2252, 18, 0.64, 52.5259576, 13.3143372, 63.69, 0.01992486, 342.4744, -0.064, 0, 1
GPS, 36298132, 0, 3, 221183999, 2252, 18, 0.64, 52.5259576, 13.3143373, 63.68, 0.007071068, 261.8699, 0.024, 0, 1
GPS, 36498148, 0, 3, 221184199, 2252, 18, 0.64, 52.5259575, 13.3143373, 63.67, 0.004242641, 135, -0.096, 0, 1
